10,0,AccessibleComputing,,0,1,0,0.33167112649574004,20160829075103,20160825195415,631144794,69,wikitext
12,0,Anarchism,,5252,0,0,0.786172332974311,20160823105555,20160823105021,735514735,181616,wikitext
13,0,AfghanistanHistory,,5,1,0,0.0621502865684687,20160829151641,20160804201535,74466652,57,wikitext
14,0,AfghanistanGeography,,0,1,0,0.952234464653055,20160804204527,20160804201649,407008307,59,wikitext
15,0,AfghanistanPeople,,4,1,0,0.574721494293512,20160813153145,20160804200658,616420354,62,wikitext
18,0,AfghanistanCommunications,,8,1,0,0.7510681513241201,20160810025021,20160804200737,74466499,64,wikitext
19,0,AfghanistanTransportations,,2,1,0,0.674272520164282,20160827200353,20160804200737,409266982,79,wikitext
20,0,AfghanistanMilitary,,7,1,0,0.118158177582694,20160823151255,20160804201536,558328133,54,wikitext
21,0,AfghanistanTransnationalIssues,,2,1,0,0.567973358154272,20160826094539,20160804200738,46448859,67,wikitext
23,0,AssistiveTechnology,,0,1,0,0.72304140005544,20160824151519,20160804201532,74466798,55,wikitext
24,0,AmoeboidTaxa,,0,1,0,0.159030164740076,20160825013719,20160804200700,627604809,41,wikitext
25,0,Autism,,558,0,0,0.626026654267708,20160828233611,20160827004238,736368655,146685,wikitext
27,0,AlbaniaHistory,,2,1,0,0.387134107190309,20160804204527,20160804200722,74467016,53,wikitext
29,0,AlbaniaPeople,,2,1,0,0.721308424809304,20160818165734,20160804200600,74466817,58,wikitext
30,0,AsWeMayThink,,2,1,0,0.6769157253922109,20160804204527,20160804200722,74467061,50,wikitext
35,0,AlbaniaGovernment,,3,1,0,0.326255799575016,20160804204527,20160804201650,74467128,54,wikitext
36,0,AlbaniaEconomy,,2,1,0,0.774375843605377,20160824090057,20160804200722,74467158,53,wikitext
39,0,Albedo,,490,0,0,0.14243175009492,20160826064048,20160821132757,735544279,36081,wikitext
40,0,AfroAsiaticLanguages,,2,1,0,0.0328232311018028,20160901062141,20160804201650,308571542,56,wikitext
42,0,ArtificalLanguages,,1,1,0,0.736820935957898,20160901201859,20160826220503,626556798,142,wikitext
46,0,AbacuS,,2,1,0,0.00514572300496113,20160825072821,20160804200700,46448989,41,wikitext
47,0,AbalonE,,0,1,0,0.530759074288196,20160831024100,20160804200533,693809230,42,wikitext
48,0,AbbadideS,,2,1,0,0.6383582331597419,20160829161515,20160804201538,504162108,50,wikitext
49,0,AbbesS,,0,1,0,0.599513973667765,20160804204527,20160804201629,46449096,41,wikitext
50,0,AbbevilleFrance,,11,1,0,0.0824951995932452,20160813203217,20160804201629,382192358,44,wikitext
51,0,AbbeY,,0,1,0,0.613934107696576,20160821082031,20160804200700,46449123,40,wikitext
52,0,AbboT,,0,1,0,0.8221849704367901,20160804204527,20160804200601,46449145,40,wikitext
